Timestamp,Request Filename,Response Filename,Response Time (s)
2024-07-16_17-12-43,SUSTAINABILITY_115-50\request_2024-07-16_17-12-43.json,SUSTAINABILITY_115-50\response_2024-07-16_17-12-43.json,0.5714714527130127
2024-07-16_17-12-46,SUSTAINABILITY_115-50\request_2024-07-16_17-12-46.json,SUSTAINABILITY_115-50\response_2024-07-16_17-12-46.json,0.40032267570495605
2024-07-16_17-12-47,SUSTAINABILITY_115-50\request_2024-07-16_17-12-47.json,SUSTAINABILITY_115-50\response_2024-07-16_17-12-47.json,0.49116015434265137
2024-07-16_17-12-49,SUSTAINABILITY_115-50\request_2024-07-16_17-12-49.json,SUSTAINABILITY_115-50\response_2024-07-16_17-12-49.json,0.4338653087615967
2024-07-16_17-12-50,SUSTAINABILITY_115-50\request_2024-07-16_17-12-50.json,SUSTAINABILITY_115-50\response_2024-07-16_17-12-50.json,0.3742959499359131
2024-07-16_17-12-51,SUSTAINABILITY_115-50\request_2024-07-16_17-12-51.json,SUSTAINABILITY_115-50\response_2024-07-16_17-12-51.json,0.6612086296081543
2024-07-16_17-12-53,SUSTAINABILITY_115-50\request_2024-07-16_17-12-53.json,SUSTAINABILITY_115-50\response_2024-07-16_17-12-53.json,0.43340587615966797
2024-07-16_17-12-54,SUSTAINABILITY_115-50\request_2024-07-16_17-12-54.json,SUSTAINABILITY_115-50\response_2024-07-16_17-12-54.json,0.450763463973999
2024-07-16_17-12-56,SUSTAINABILITY_115-50\request_2024-07-16_17-12-56.json,SUSTAINABILITY_115-50\response_2024-07-16_17-12-56.json,0.41002345085144043
2024-07-16_17-12-57,SUSTAINABILITY_115-50\request_2024-07-16_17-12-57.json,SUSTAINABILITY_115-50\response_2024-07-16_17-12-57.json,0.3958451747894287
2024-07-16_17-12-58,SUSTAINABILITY_115-50\request_2024-07-16_17-12-58.json,SUSTAINABILITY_115-50\response_2024-07-16_17-12-58.json,0.37204575538635254
2024-07-16_17-13-00,SUSTAINABILITY_115-50\request_2024-07-16_17-13-00.json,SUSTAINABILITY_115-50\response_2024-07-16_17-13-00.json,0.34900617599487305
