Timestamp,Request Filename,Response Filename,Response Time (s)
2024-07-16_15-41-54,CONNECTIVITY_115-10\request_2024-07-16_15-41-54.json,CONNECTIVITY_115-10\response_2024-07-16_15-41-54.json,0.3251619338989258
2024-07-16_15-41-55,CONNECTIVITY_115-10\request_2024-07-16_15-41-55.json,CONNECTIVITY_115-10\response_2024-07-16_15-41-55.json,0.3106868267059326
2024-07-16_15-41-57,CONNECTIVITY_115-10\request_2024-07-16_15-41-57.json,CONNECTIVITY_115-10\response_2024-07-16_15-41-57.json,0.3480241298675537
2024-07-16_15-41-58,CONNECTIVITY_115-10\request_2024-07-16_15-41-58.json,CONNECTIVITY_115-10\response_2024-07-16_15-41-58.json,0.30251145362854004
2024-07-16_15-41-59,CONNECTIVITY_115-10\request_2024-07-16_15-41-59.json,CONNECTIVITY_115-10\response_2024-07-16_15-41-59.json,0.29688596725463867
2024-07-16_15-42-00,CONNECTIVITY_115-10\request_2024-07-16_15-42-00.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-00.json,0.34310269355773926
2024-07-16_15-42-01,CONNECTIVITY_115-10\request_2024-07-16_15-42-01.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-01.json,0.3346292972564697
2024-07-16_15-42-02,CONNECTIVITY_115-10\request_2024-07-16_15-42-02.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-02.json,0.3756368160247803
2024-07-16_15-42-04,CONNECTIVITY_115-10\request_2024-07-16_15-42-04.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-04.json,0.3222675323486328
2024-07-16_15-42-05,CONNECTIVITY_115-10\request_2024-07-16_15-42-05.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-05.json,0.3466477394104004
2024-07-16_15-42-06,CONNECTIVITY_115-10\request_2024-07-16_15-42-06.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-06.json,0.34259819984436035
2024-07-16_15-42-07,CONNECTIVITY_115-10\request_2024-07-16_15-42-07.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-07.json,0.29778265953063965
2024-07-16_15-42-09,CONNECTIVITY_115-10\request_2024-07-16_15-42-09.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-09.json,0.33760976791381836
2024-07-16_15-42-10,CONNECTIVITY_115-10\request_2024-07-16_15-42-10.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-10.json,0.3520925045013428
2024-07-16_15-42-11,CONNECTIVITY_115-10\request_2024-07-16_15-42-11.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-11.json,0.4149906635284424
2024-07-16_15-42-13,CONNECTIVITY_115-10\request_2024-07-16_15-42-13.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-13.json,0.3177306652069092
2024-07-16_15-42-14,CONNECTIVITY_115-10\request_2024-07-16_15-42-14.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-14.json,0.3101625442504883
2024-07-16_15-42-15,CONNECTIVITY_115-10\request_2024-07-16_15-42-15.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-15.json,0.3376171588897705
2024-07-16_15-42-16,CONNECTIVITY_115-10\request_2024-07-16_15-42-16.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-16.json,0.3406953811645508
2024-07-16_15-42-17,CONNECTIVITY_115-10\request_2024-07-16_15-42-17.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-17.json,0.3034830093383789
2024-07-16_15-42-19,CONNECTIVITY_115-10\request_2024-07-16_15-42-19.json,CONNECTIVITY_115-10\response_2024-07-16_15-42-19.json,0.2948756217956543
