Timestamp,Request Filename,Response Filename,Response Time (s)
2024-07-16_15-25-53,USABILITY_115-50\request_2024-07-16_15-25-53.json,USABILITY_115-50\response_2024-07-16_15-25-53.json,0.43262147903442383
2024-07-16_15-25-54,USABILITY_115-50\request_2024-07-16_15-25-54.json,USABILITY_115-50\response_2024-07-16_15-25-54.json,0.41344285011291504
2024-07-16_15-25-56,USABILITY_115-50\request_2024-07-16_15-25-56.json,USABILITY_115-50\response_2024-07-16_15-25-56.json,0.36653947830200195
2024-07-16_15-25-57,USABILITY_115-50\request_2024-07-16_15-25-57.json,USABILITY_115-50\response_2024-07-16_15-25-57.json,0.3832426071166992
2024-07-16_15-25-58,USABILITY_115-50\request_2024-07-16_15-25-58.json,USABILITY_115-50\response_2024-07-16_15-25-58.json,0.5263855457305908
2024-07-16_15-26-00,USABILITY_115-50\request_2024-07-16_15-26-00.json,USABILITY_115-50\response_2024-07-16_15-26-00.json,0.42255282402038574
2024-07-16_15-26-01,USABILITY_115-50\request_2024-07-16_15-26-01.json,USABILITY_115-50\response_2024-07-16_15-26-01.json,0.4169585704803467
2024-07-16_15-26-02,USABILITY_115-50\request_2024-07-16_15-26-02.json,USABILITY_115-50\response_2024-07-16_15-26-02.json,0.41846346855163574
2024-07-16_15-26-04,USABILITY_115-50\request_2024-07-16_15-26-04.json,USABILITY_115-50\response_2024-07-16_15-26-04.json,0.39954590797424316
2024-07-16_15-26-05,USABILITY_115-50\request_2024-07-16_15-26-05.json,USABILITY_115-50\response_2024-07-16_15-26-05.json,0.5096898078918457
2024-07-16_15-26-06,USABILITY_115-50\request_2024-07-16_15-26-06.json,USABILITY_115-50\response_2024-07-16_15-26-06.json,0.4437553882598877
2024-07-16_15-26-08,USABILITY_115-50\request_2024-07-16_15-26-08.json,USABILITY_115-50\response_2024-07-16_15-26-08.json,0.4169285297393799
2024-07-16_15-26-09,USABILITY_115-50\request_2024-07-16_15-26-09.json,USABILITY_115-50\response_2024-07-16_15-26-09.json,0.4213876724243164
